aX,aY,aZ,gX,gY,gZ
1.227,0.875,0.661,-63.965,84.656,44.678
1.143,0.842,0.556,-57.678,59.143,41.565
1.045,0.793,0.425,-53.284,51.575,41.382
0.922,0.758,0.304,-45.654,50.354,40.710
0.827,0.718,0.197,-34.607,48.767,38.269
0.730,0.650,0.097,-24.597,41.992,32.776
0.656,0.655,0.057,-14.832,25.574,23.865
0.620,0.601,0.104,-3.845,6.653,18.005
0.601,0.590,0.188,4.272,-9.644,13.733
0.676,0.566,0.269,5.432,-15.015,13.062
0.820,0.507,0.318,1.709,-9.399,17.639
0.874,0.480,0.274,-2.563,1.709,19.531
0.932,0.463,0.169,-7.141,14.343,16.174
0.999,0.408,0.100,-8.423,15.869,15.503
1.076,0.371,0.083,-6.470,7.019,18.066
1.097,0.392,0.084,-3.906,-1.526,22.400
1.052,0.428,0.102,-0.061,-5.615,26.306
0.990,0.474,0.107,2.747,-6.592,25.635
0.922,0.517,0.111,5.920,-7.507,24.170
0.868,0.537,0.119,8.789,-8.362,21.667
0.815,0.551,0.143,11.108,-7.874,17.456
0.762,0.592,0.175,11.353,-6.714,12.756
0.742,0.603,0.214,8.606,-6.042,8.423
0.787,0.574,0.237,3.601,-4.578,4.639
0.811,0.557,0.252,-0.488,-0.793,3.174
0.835,0.555,0.265,-3.723,5.249,3.174
0.854,0.563,0.251,-7.446,10.132,2.930
0.908,0.529,0.228,-9.827,11.475,2.136
0.964,0.507,0.210,-9.155,10.620,1.526

0.769,0.543,-0.047,-11.169,11.780,19.592
0.805,0.550,-0.042,-9.460,11.108,16.907
0.838,0.551,-0.032,-7.935,11.230,14.343
0.882,0.542,-0.016,-6.287,11.353,11.902
0.917,0.537,-0.003,-6.042,10.315,10.376
0.937,0.540,0.014,-6.287,8.484,9.521
0.943,0.561,0.028,-6.836,6.470,8.789
0.945,0.595,0.046,-7.690,4.211,6.836
0.958,0.628,0.066,-8.484,1.587,3.906
0.977,0.654,0.086,-9.216,-0.854,0.793
1.001,0.679,0.099,-10.254,-3.418,-2.258
1.033,0.684,0.111,-11.658,-5.554,-5.798
1.064,0.678,0.112,-13.672,-6.592,-8.545
1.078,0.678,0.107,-16.174,-6.470,-9.827
1.074,0.685,0.104,-18.616,-5.310,-10.437
1.062,0.693,0.098,-19.836,-3.662,-12.939
1.056,0.700,0.079,-20.935,-2.319,-17.395
1.053,0.704,0.057,-21.545,-2.441,-22.034
1.044,0.709,0.032,-19.836,-5.188,-25.085
1.025,0.733,0.008,-17.334,-12.451,-27.100
0.978,0.794,0.008,-15.869,-26.917,-30.090
0.929,0.873,0.016,-13.611,-46.082,-37.842
0.933,0.877,0.060,-9.888,-62.683,-49.866
1.005,0.816,0.129,-5.371,-73.425,-61.401
1.061,0.769,0.193,-3.357,-80.627,-70.862
1.142,0.714,0.251,-4.456,-85.876,-77.881
1.220,0.706,0.284,-8.118,-87.097,-79.895
1.243,0.738,0.294,-16.296,-86.975,-77.393
1.236,0.828,0.271,-27.527,-89.355,-75.928
1.220,0.935,0.219,-37.292,-92.651,-78.979
1.244,0.968,0.159,-41.687,-95.093,-84.839
1.244,0.977,0.109,-41.870,-100.525,-93.628
1.237,1.017,0.057,-37.659,-112.854,-108.887
1.265,1.115,0.007,-29.785,-134.338,-131.165
1.255,1.203,-0.007,-12.878,-165.710,-155.640
1.280,1.316,0.025,8.240,-203.735,-182.373
1.372,1.299,0.123,27.344,-239.746,-212.097
1.580,1.265,0.310,45.776,-268.860,-233.704
2.016,1.464,0.442,56.824,-272.400,-234.863
2.255,1.803,0.522,59.448,-250.793,-222.534
2.352,2.144,0.455,49.805,-224.792,-198.608
2.301,2.422,0.325,25.574,-211.365,-171.753
2.074,2.627,0.221,-10.376,-233.643,-150.085
1.761,2.818,0.158,-47.302,-281.982,-135.498
1.364,2.990,0.037,-79.102,-331.604,-131.042
0.855,3.169,-0.180,-100.647,-365.784,-137.512
0.194,3.197,-0.486,-110.046,-387.451,-155.457
-0.552,2.901,-0.744,-113.403,-411.499,-185.425
-1.386,2.295,-0.935,-102.661,-450.439,-227.783
-2.187,1.524,-0.940,-67.444,-481.689,-278.931
-2.930,0.427,-0.778,-6.470,-470.093,-322.205
-3.738,-1.107,-0.556,66.772,-411.682,-341.919
-4.000,-3.446,-0.156,131.714,-327.576,-328.369
